categories,img,id,product,description,price
mix homecare ,img/products/na.jpg,45,Handwash,"Veggie Handwash is enriched with pure coconut oil. This  gentle liquid lathers smoothly over your hands, cleanse, moisturises and leaves your skin fresh with its fragrance while fighting 100% germs and bacteria.",0
mix homecare ,img/products/na.jpg,46,Hanging Soap,"Veggie Hanging Soap lathers smoothly over your hands, cleanse, moisturises and leaves your skin fresh with its fragrance while fighting 100% germs and bacteria.",0
mix homecare ,img/products/na.jpg,47,Glass cleaner,"Veggie Glass Cleaner comes with a unique formula that provides extra shine and is eco-friendly. It quickly eliminates fingerprints, smudges, dust and dirt.",0
mix homecare ,img/products/na.jpg,48,Laundry Soap,"With contents such as Palm Oil and coconut oil, Veggie Laundry Soap leaves the clothes stain free, hands soft and is safe for baby clothes. A single soap works like 3 soaps. Does not unnecessarily disolve in water when left unused.",0
mix homecare ,img/products/na.jpg,49,Phenyl ,"Veggie Phenyl is ideal for floor, Toilet, Wash basin, etc. Its special formula cleans stubborn stains and leaves the area sparkling clean with a pine fragrance. It is biodegrabale and absolutely safe on skin.",0
mix homecare ,img/products/na.jpg,50,Toilet Cleaner ,"Veggie Toilet Cleaner removes tough stains, deodorises quickly and fights odour. ",0
mix homecare ,img/products/na.jpg,51,Liquid Detergent,No Desc,0
mix homecare ,img/products/na.jpg,52,LISA  Washing Powder,"Veggie LISA washing powder removes even the toughest stains by getting deep down into the clothes and preventing them from setting in. Work great for Bucket wash, Top load washing machine and front load washing machines.",0
mix homecare ,img/products/na.jpg,53,Bold Washing Powder,"Contains pleasant perfume, optical brightener. Removes oil and grease from clothes. Keeps hands safe and soft. ",0
mix homecare ,img/products/na.jpg,54,Burn stick,"veggies burn stick contains plastic bristle, vinegar, baking soda  which is used as cleaning agent and works effectively in getting rid of crusty burnt food from the pans.",0
